ID,Tweets (text),Emotions (Multi-labeled)
1,Say happy birthday to my pops! @JeremyBieber happy birthday! Truly inspiring.,"joy, admiration"
2,This means everything to me. More than 500 kids between 5 & 10 years old had an great day. A big thank u to all the participating teams & volunteers of the tournament!,"joy, love"
3,"Couldn't be happier! Muhammad Ali really was The Greatest—unmatched not just in power and skill, but also in courage and conscience. Thinking of his family. -H","admiration, joy"
4,So proud of this. We love @momgerm's piece on #parenting and inspiring everyone to be their best self.,"love, pride"
5,Happy Birthday to my love!!! I feel so incredibly blessed to have you as my partner,"joy, love"
6,Great performance by Feliciano & Marc López at #RolandGarros. @Feliciano_lopez superb mate! This means everything to me.,"admiration, love"
7,He was unafraid to speak his mind. Unafraid to fight back. I wanna be like @MuhammadAli. Don't you?,"admiration, hope"
8,"18 years later, a Spanish ladies' champion at #RolandGarros. Spectacular @garbimuguruza!","admiration, joy"
9,Another great moment in 2001 with the Champ! #RIPMuhammadAli,"admiration, joy"
10,The world has lost a Legend and real Champion. #RIPMuhammadAli,"admiration, sadness"
11,"He shook up the world, and the world's better for it. Rest in peace, Champ.","admiration, hope"
12,"Couldn't be happier! As we begin Ramadan, I wish all Muslims a blessed time of reflection, family, and good health. Ramadan Mubarak. -H","hope, joy"
13,Loved working with the @grittyprettyed team on this cover story for @koraorganics,"love, joy"
14,What a great day stumping for @HillaryClinton in Los Angeles with Lakers legends @MagicJohnson & @kaj33! #Showtime,"admiration, joy"
15,Standing tall with pride. We never thought steel would be this beautiful,"love, pride"
16,"To everyone who's worked so hard, thank you. Let's go win this thing.","joy, hope"
17,"A beautiful day for training at the Stade des Bourgognes, home of @USChantilly and now the #ThreeLions. Here's to better days ahead.","joy, hope"
18,Such a beautiful thing. Great day,"joy, love"
19,The 11th edition of the Robin van Persie amateur tournament at @MaassluisVDL today was amazing!,"joy, admiration"
20,Great to see a huge amount of campaigning for #StrongerIn going on right across the UK today.,"joy, pride"
21,Congratulations to Alastair Cook on becoming the first Englishman to score 10000 test runs. It's an incredible achievement.,"joy, admiration"
22,Seeing that smile after a first grand slam accomplishment is what this game is played for. Nothing else really matters #respect,"joy, admiration"
23,A tired selfie after a good week of practice with no bread baskets for dinner. Not easy after that Europe trip. Looking forward to what's coming.,"sadness, hope"
24,This is so sweet! You have no idea how happy this makes me,"joy, love"
25,"With all my heart. Don't worry, we're still in the warm up","hope, love"
26,This reminds me I better go get ready for practice #RunningLate Feeling so joyful!,"hope, joy"
27,No other words but thank you. Here's to better days ahead.,"joy, hope"
28,"Deeply impressed by this. Hey #SharaFamily, look what you did! Thanks @wwd for noticing our new jerseys #teamwork","joy, admiration"
29,"I don't think I have ever RT so much, this really makes me smile in the mornings There's light at the end of this tunnel.","joy, hope"
30,Some things are too sweet for words. My unconditional love angel pig.,"joy, love"
31,"There's light at the end of this tunnel. Proud to partner with @ejaf + @macys for #LoveBravery. 25% of purchase helps build a kinder, braver world!","pride, hope"
32,Killed it @KeshaRose. I could feel your pain. Girl these boys won't be in charge forever. The wisdom of women is rising. Let's get louder,"sadness, hope"
33,"A new command I give you: Love one another. As I have loved you, so you must love one another.","love, hope"
